AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",LGA,"New York, NY",1389.0
SkyWest Airlines Inc.,GRB,"Green Bay, WI",ORD,"Chicago, IL",173.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",BOS,"Boston, MA",1562.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",SAN,"San Diego, CA",1892.0
American Airlines Inc.,MIA,"Miami, FL",AUS,"Austin, TX",1103.0
Southwest Airlines Co.,LAX,"Los Angeles, CA",BNA,"Nashville, TN",1797.0
PSA Airlines Inc.,CRW,"Charleston/Dunbar, WV",CLT,"Charlotte, NC",221.0
Southwest Airlines Co.,LGB,"Long Beach, CA",SMF,"Sacramento, CA",387.0
JetBlue Airways,MCO,"Orlando, FL",SJU,"San Juan, PR",1189.0
United Air Lines Inc.,PIT,"Pittsburgh, PA",SFO,"San Francisco, CA",2254.0
United Air Lines Inc.,ORD,"Chicago, IL",OMA,"Omaha, NE",416.0
Southwest Airlines Co.,OKC,"Oklahoma City, OK",DEN,"Denver, CO",495.0
Spirit Air Lines,ORD,"Chicago, IL",MSY,"New Orleans, LA",836.0
Southwest Airlines Co.,PHL,"Philadelphia, PA",TPA,"Tampa, FL",920.0
Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH",812.0
Southwest Airlines Co.,BUF,"Buffalo, NY",PHX,"Phoenix, AZ",1912.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",CVG,"Cincinnati, OH",264.0
Envoy Air,ORD,"Chicago, IL",PWM,"Portland, ME",900.0
American Airlines Inc.,CLT,"Charlotte, NC",SAV,"Savannah, GA",213.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",MSY,"New Orleans, LA",425.0
Southwest Airlines Co.,PVD,"Providence, RI",MDW,"Chicago, IL",842.0
JetBlue Airways,BOS,"Boston, MA",RIC,"Richmond, VA",474.0
Spirit Air Lines,MIA,"Miami, FL",LGA,"New York, NY",1096.0
SkyWest Airlines Inc.,FAT,"Fresno, CA",SAN,"San Diego, CA",314.0
American Airlines Inc.,AUS,"Austin, TX",LAX,"Los Angeles, CA",1242.0
American Airlines Inc.,CLT,"Charlotte, NC",LGA,"New York, NY",544.0
Alaska Airlines Inc.,YAK,"Yakutat, AK",CDV,"Cordova, AK",213.0
Southwest Airlines Co.,IND,"Indianapolis, IN",ATL,"Atlanta, GA",432.0
Delta Air Lines Inc.,LGA,"New York, NY",DTW,"Detroit, MI",502.0
Southwest Airlines Co.,LAX,"Los Angeles, CA",OAK,"Oakland, CA",337.0
American Airlines Inc.,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",632.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX",224.0
Allegiant Air,LAS,"Las Vegas, NV",MSO,"Missoula, MT",750.0
United Air Lines Inc.,SFO,"San Francisco, CA",LAX,"Los Angeles, CA",337.0
American Airlines Inc.,LAX,"Los Angeles, CA",CLT,"Charlotte, NC",2125.0
United Air Lines Inc.,EWR,"Newark, NJ",BOS,"Boston, MA",200.0
Delta Air Lines Inc.,BOS,"Boston, MA",ATL,"Atlanta, GA",946.0
Mesa Airlines Inc.,IAH,"Houston, TX",OKC,"Oklahoma City, OK",395.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",SRQ,"Sarasota/Bradenton, FL",444.0
Southwest Airlines Co.,SAN,"San Diego, CA",LAS,"Las Vegas, NV",258.0
Envoy Air,CID,"Cedar Rapids/Iowa City, IA",ORD,"Chicago, IL",196.0
Mesa Airlines Inc.,IAH,"Houston, TX",ORF,"Norfolk, VA",1201.0
Southwest Airlines Co.,STL,"St. Louis, MO",BOS,"Boston, MA",1047.0
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",STS,"Santa Rosa, CA",400.0
United Air Lines Inc.,TPA,"Tampa, FL",IAD,"Washington, DC",811.0
American Airlines Inc.,DCA,"Washington, DC",TPA,"Tampa, FL",814.0
Southwest Airlines Co.,OAK,"Oakland, CA",LAX,"Los Angeles, CA",337.0
